ms,lp,al,be
1.304404599999999981e+01,-2.943642399999999881e+00,-1.387629099999999893e-01,5.807401700000000000e-01
1.305440699999999943e+01,-2.907229899999999922e+00,-1.131403200000000026e-01,6.045249700000000503e-01
1.305472400000000022e+01,-2.926546399999999881e+00,-1.044426900000000047e-01,6.075221100000000041e-01
1.305551999999999957e+01,-2.936976299999999984e+00,-1.030450200000000011e-01,5.992593099999999895e-01
1.327883899999999961e+01,-2.932926699999999887e+00,-3.627866200000000041e-01,6.445940199999999898e-01
1.327720000000000056e+01,-2.945394100000000126e+00,-2.886561699999999897e-01,6.483177599999999652e-01
1.352680199999999999e+01,-3.059543699999999866e+00,-4.796954500000000232e-01,7.726695399999999880e-01
1.328456100000000006e+01,-2.948538699999999846e+00,-3.029949200000000009e-01,6.417281700000000422e-01
1.350361700000000020e+01,-3.038929399999999781e+00,-5.027778000000000524e-01,7.171165800000000035e-01
1.353273699999999913e+01,-3.049941599999999919e+00,-4.196859700000000193e-01,7.853084299999999462e-01
1.349569200000000002e+01,-3.045903899999999886e+00,-4.316214999999999913e-01,7.441769499999999482e-01
1.360403799999999919e+01,-3.095599500000000059e+00,-5.079113200000000550e-01,7.810912500000000147e-01
